Title,Price,Location,Bedrooms,Bathrooms,Land Area,Building Area,Agent Name,URL,Price per Bedroom,Cost per Bedroom,Area per Bedroom
"Kost di Jalan Burangrang, Bandung 270 m HS",350.0,"Gatot Subroto, Bandung",14.0,7.0,300.0,270.0,May Sinergis,"<a href=""https://www.rumah123.com/properti/bandung/kss4041/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss4041/</a>",0.41666666666666663,25.0,19.285714285714285
Jarang Ada Dijual Kosan Paviliun Murah di Turangga Bisa Masuk Mobil,420.0,"Turangga, Bandung",3.0,3.0,50.0,100.0,Glory's Property,"<a href=""https://www.rumah123.com/properti/bandung/kss15013/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss15013/</a>",2.3333333333333335,140.0,33.333333333333336
Kos Sayap Tsm,450.0,"Batununggal, Bandung",6.0,2.0,84.0,84.0,Tanu Widjojo,"<a href=""https://www.rumah123.com/properti/bandung/kss514/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss514/</a>",1.25,75.0,14.0
Dijual Kost Full Terisi Lok.Sayuran Cibaduyut Bandung,450.0,"Bandung Selatan, Bandung",9.0,3.0,140.0,130.0,Teti Hartiyati,"<a href=""https://www.rumah123.com/properti/bandung/kss5641/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss5641/</a>",0.8333333333333334,50.0,14.444444444444445
Dijual Kostan Aktif Sekeloa Dipati Ukur Dago Bandung,450.0,"Sayap Dago, Bandung",4.0,1.0,70.0,50.0,Teti Hartiyati,"<a href=""https://www.rumah123.com/properti/bandung/kss2176/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss2176/</a>",1.875,112.5,12.5
Murah Banget Kosan Dekat Kampus Itb,500.0,"Bandung Kota, Bandung",6.0,2.0,53.0,80.0,Warung Property Bandung,"<a href=""https://www.rumah123.com/properti/bandung/kss1222/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss1222/</a>",1.388888888888889,83.33333333333333,13.333333333333334
Kos 6kt 6km Moh Toha Bandung,550.0,"Buah Batu, Bandung",6.0,6.0,100.0,90.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss1949/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss1949/</a>",1.5277777777777777,91.66666666666667,15.0
Di Jual Kostan 6 Pintu Dekat Pintu Tol Moh Toha Bandung,550.0,"Regol, Bandung",6.0,6.0,100.0,100.0,Teti Hartiyati,"<a href=""https://www.rumah123.com/properti/bandung/kss2179/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss2179/</a>",1.5277777777777777,91.66666666666667,16.666666666666668
Kost Berada di Tengah Kota Bandung di Astana Anyar,550.0,"Astanaanyar, Bandung",6.0,2.0,71.0,71.0,Sukiawan Era Jack,"<a href=""https://www.rumah123.com/properti/bandung/kss7547/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss7547/</a>",1.5277777777777777,91.66666666666667,11.833333333333334
Murah Jarang Ada Rumah Kos Kost di Taman Cibaduyut Indah,575.0,"Cibaduyut, Bandung",5.0,5.0,60.0,120.0,Fred,"<a href=""https://www.rumah123.com/properti/bandung/kss4627/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss4627/</a>",1.9166666666666667,115.0,24.0
"Kost di Taman Cibaduyut Indah , Bandung 120 m SHM",575.0,"Cibaduyut, Bandung",5.0,0.0,60.0,120.0,Davis Kosasih,"<a href=""https://www.rumah123.com/properti/bandung/kss4930/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss4930/</a>",1.9166666666666667,115.0,24.0
"Kost di Taman Cibaduyut Indah , Bandung 120 m SHM",575.0,"Cibaduyut, Bandung",5.0,5.0,60.0,120.0,Kho Eyke Marjati,"<a href=""https://www.rumah123.com/properti/bandung/kss6332/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6332/</a>",1.9166666666666667,115.0,24.0
Kos Kost di Sayap Jl Terusan Ciliwung Akses Gang,580.0,"Cibeunying, Bandung",10.0,6.0,65.0,140.0,Fred SAP,"<a href=""https://www.rumah123.com/properti/bandung/kss12095/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss12095/</a>",0.9666666666666666,58.0,14.0
Dijual Cepat Kosan Murah Full Terisi di Babakan Tarogong Dekat Citylink,580.0,"Asia Afrika, Bandung",6.0,6.0,68.0,140.0,Glory's Property,"<a href=""https://www.rumah123.com/properti/bandung/kss9144/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss9144/</a>",1.611111111111111,96.66666666666667,23.333333333333332
Kos Aktif Kmr Mandi Dalam Kiaracondong Bandung,585.0,"Kiaracondong, Bandung",6.0,6.0,63.0,120.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss11876/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss11876/</a>",1.625,97.5,20.0
Jual Asset Sangat Murah Rukost Aktif Riung Mukti Gedebage,600.0,"Gede Bage, Bandung",9.0,3.0,182.0,280.0,Livi,"<a href=""https://www.rumah123.com/properti/bandung/kss8093/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss8093/</a>",1.1111111111111112,66.66666666666667,31.11111111111111
Kost Aktif 2 Lantai di Taman Cibaduyut Indah Kec Dayeuhkolot Kab Bandung,600.0,"Dayeuhkolot, Bandung",5.0,5.0,60.0,120.0,Cen Yu Lie,"<a href=""https://www.rumah123.com/properti/bandung/kss8365/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss8365/</a>",2.0,120.0,24.0
"Kost Murah Meriah Pasteur Sukawarna, Bandung",600.0,"Pasteur, Bandung",6.0,2.0,40.0,40.0,handy cahyadi commercial,"<a href=""https://www.rumah123.com/properti/bandung/kss5854/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss5854/</a>",1.6666666666666667,100.0,6.666666666666667
Rumah Kost Strategis Murah di Sekeloa Dago Bandung,600.0,"Dago, Bandung",4.0,2.0,70.0,70.0,Siska silviana,"<a href=""https://www.rumah123.com/properti/bandung/kss4479/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss4479/</a>",2.5,150.0,17.5
Dijual Kostan 6 Pintu Full Terisi Arcamanik Bandung,600.0,"Arcamanik, Bandung",6.0,6.0,90.0,170.0,Teti Hartiyati,"<a href=""https://www.rumah123.com/properti/bandung/kss390/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss390/</a>",1.6666666666666667,100.0,28.333333333333332
"Dijual Toko Dan Kost Kontrakan Di Ciganitri, Bandung",625.0,"Bojongsoang, Bandung",8.0,8.0,110.0,200.0,Muhammad Zirkon Daud Budiman,"<a href=""https://www.rumah123.com/properti/bandung/kss15854/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss15854/</a>",1.3020833333333333,78.125,25.0
Kos Pasundan,625.0,"Regol, Bandung",9.0,2.0,65.0,63.0,Tanu Widjojo,"<a href=""https://www.rumah123.com/properti/bandung/kss1973/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss1973/</a>",1.1574074074074074,69.44444444444444,7.0
Dijual Kostan 2 Lantai Taman Cibaduyut Indah Kota Bandung,625.0,"Cibaduyut, Bandung",5.0,5.0,60.0,110.0,Imelda Veranika,"<a href=""https://www.rumah123.com/properti/bandung/kss7250/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss7250/</a>",2.083333333333333,125.0,22.0
Dijual Kostan 2 Lantai Taman Cibaduyut Indah Kota Bandung,625.0,"Cibaduyut, Bandung",5.0,5.0,60.0,110.0,Eric,"<a href=""https://www.rumah123.com/properti/bandung/kss6110/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6110/</a>",2.083333333333333,125.0,22.0
Kos Penuh 8kt 8km Dlm Cihanjuang Bandung,650.0,"Sariwangi, Bandung",8.0,8.0,70.0,100.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss7246/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss7246/</a>",1.3541666666666667,81.25,12.5
Rumah Kost Cocok Untuk Invest di Taman Cibaduyut Indah Bandung,650.0,"Bandung Kota, Bandung",5.0,5.0,60.0,110.0,cing cing,"<a href=""https://www.rumah123.com/properti/bandung/kss4681/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss4681/</a>",2.166666666666667,130.0,22.0
Rumah Dijual Di Cihanjuang Cimahi Rumah Cluster Cihanjuang Cimahi Dekat Pemkot,650.0,"Cihanjuang, Bandung",2.0,2.0,60.0,50.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss16751/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss16751/</a>",5.416666666666667,325.0,25.0
Rumah Hitung Tanah Cocok Untuk Kos Kost di Sayap Gatot Subroto,670.0,"Gatot Subroto, Bandung",5.0,2.0,141.0,100.0,Fred,"<a href=""https://www.rumah123.com/properti/bandung/kss17245/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss17245/</a>",2.2333333333333334,134.0,20.0
