Title,Price,Location,Bedrooms,Bathrooms,Land Area,Building Area,Agent Name,URL,Price per Bedroom,Cost per Bedroom,Area per Bedroom
"Dijual Kontrakan di Depok, Dekat Tol Desari",575.0,"Sawangan, Depok",5.0,2.0,100.0,100.0,Aninda Lestari,"<a href=""https://www.rumah123.com/properti/depok/kss15474/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss15474/</a>",1.9166666666666667,115.0,20.0
Dijual Kontrakan di Tapos Kota Depok,650.0,"Tapos, Depok",3.0,0.0,140.0,140.0,Gregah Yudha Purnama,"<a href=""https://www.rumah123.com/properti/depok/kss25133/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss25133/</a>",3.611111111111111,216.66666666666666,46.666666666666664
Kontrakan Bagus 2 lantai 8 Pintu SHM Lokasi Strategis Citayem Depom,700.0,"Citayam, Depok",8.0,0.0,229.0,500.0,Deddy Ardiansyah,"<a href=""https://www.rumah123.com/properti/depok/kss4900/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss4900/</a>",1.4583333333333333,87.5,62.5
"Dijual Murah Kos di Dekat Universitas Gunadarma Cimanggis, Depok",800.0,"Cimanggis, Depok",4.0,7.0,156.0,150.0,Benedict Algae Adisatria,"<a href=""https://www.rumah123.com/properti/depok/kss2986/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss2986/</a>",3.3333333333333335,200.0,37.5
"Dijual Kos Dan Kontrakan Dekat Ui, Universitas Gunadarma, Dan Stasiun Pondok Cina",850.0,"Margonda, Depok",4.0,4.0,97.0,160.0,Aninda Lestari,"<a href=""https://www.rumah123.com/properti/depok/kss15469/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss15469/</a>",3.5416666666666665,212.5,40.0
RUMAH KOST BELAKANG MALL DI DEPOK,980.0,"Margonda, Depok",4.0,4.0,100.0,180.0,Ferdi,"<a href=""https://www.rumah123.com/properti/depok/kss4934/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss4934/</a>",4.083333333333333,245.0,45.0
DIJUAL KOS sebrang mall Depok 8 kamar,1200.0,"Beji, Depok",8.0,8.0,180.0,120.0,Erly,"<a href=""https://www.rumah123.com/properti/depok/kss4588/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss4588/</a>",2.5,150.0,15.0
"Jual Murah Rmh Kos Baru, 8 Bdr, Jl. Mawar, Kemirimuka, Beji Depok",1200.0,"Margonda, Depok",8.0,8.0,75.0,150.0,Benny Ben,"<a href=""https://www.rumah123.com/properti/depok/kss1302/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss1302/</a>",2.5,150.0,18.75
"Dijual Kos Di Cimanggis, Depok",1200.0,"Cimanggis, Depok",11.0,0.0,100.0,100.0,Agus Satria,"<a href=""https://www.rumah123.com/properti/depok/kss5350/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss5350/</a>",1.8181818181818181,109.0909090909091,9.090909090909092
Dijual Kost Full Terisi 2 Lantai di Pondok Cina Depok,1400.0,"Beji, Depok",6.0,6.0,128.0,150.0,Zsazsa,"<a href=""https://www.rumah123.com/properti/depok/kss3733/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss3733/</a>",3.888888888888889,233.33333333333334,25.0
Dijual Kos Putri Dekat Universitas Indonesia Depok Jawa Barat,1900.0,"Depok II, Depok",8.0,9.0,105.0,170.0,Dini Wiryandoko,"<a href=""https://www.rumah123.com/properti/depok/kss4118/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss4118/</a>",3.9583333333333335,237.5,21.25
Jual Kosan Fsr2 10 Kamar Dekat KAMPUS Ui Kost Baru Full Furnished Investasi di Beji Depok Dijual,2009.9999999999998,"Beji, Depok",7.0,7.0,85.0,142.0,TATENG SUKMANA,"<a href=""https://www.rumah123.com/properti/depok/kss7053/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss7053/</a>",4.785714285714286,287.1428571428571,20.285714285714285
"Jual Kosan Fs2 7 Kamar Dekat KAMPUS Ui Kost Baru Full Furnished, Investasi di Beji Depok, Dijual",2009.9999999999998,"Beji, Depok",7.0,7.0,85.0,142.0,TATENG SUKMANA,"<a href=""https://www.rumah123.com/properti/depok/kss8399/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss8399/</a>",4.785714285714286,287.1428571428571,20.285714285714285
Jual Kost Mewah Murah Kosan Dekat Kampus Ui Beji Depok Furnished,2009.9999999999998,"Beji, Depok",7.0,7.0,85.0,142.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss14989/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss14989/</a>",4.785714285714286,287.1428571428571,20.285714285714285
"Investasi Cerdas Rumah Kost Strategis Full Furnished di Depok, Dekat Kampus Ui",2009.9999999999998,"Beji, Depok",7.0,7.0,85.0,142.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss9287/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss9287/</a>",4.785714285714286,287.1428571428571,20.285714285714285
Dijual Investasi Menguntungkan Rumah Kost Strategis di Depok Dekat Kampus Ui,2009.9999999999998,"Beji, Depok",7.0,7.0,85.0,142.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss7064/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss7064/</a>",4.785714285714286,287.1428571428571,20.285714285714285
Dijual Investasi Menguntungkan Rumah Kost Strategis di Depok Dekat Kampus Ui,2009.9999999999998,"Beji, Depok",7.0,7.0,85.0,142.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss7238/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss7238/</a>",4.785714285714286,287.1428571428571,20.285714285714285
Rumah Kost Dijual Murah Ekslusive Strategis Dekat Kampus Furnish,2009.9999999999998,"Beji, Depok",7.0,7.0,85.0,142.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss9937/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss9937/</a>",4.785714285714286,287.1428571428571,20.285714285714285
"Rumah Kost Dijual di Kukusan, Depok Khusus Putri 500 Meter Ke Universitas Indonesia",2009.9999999999998,"Kukusan, Depok",7.0,7.0,85.0,142.0,AKHADI ARI SAPAR,"<a href=""https://www.rumah123.com/properti/depok/kss9694/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss9694/</a>",4.785714285714286,287.1428571428571,20.285714285714285
"Raih Keuntungan Optimal Rumah Kost di Lokasi Prime Depok, Hanya Beberapa Langkah Dari Kampus Ui",2090.0,"Depok II, Depok",7.0,7.0,90.0,152.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss7240/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss7240/</a>",4.976190476190476,298.57142857142856,21.714285714285715
"Raih Keuntungan Optimal Rumah Kost di Lokasi Prime Depok, Hanya Beberapa Langkah Dari Kampus Ui",2090.0,"Beji, Depok",7.0,7.0,90.0,152.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss9360/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss9360/</a>",4.976190476190476,298.57142857142856,21.714285714285715
"Raih Keuntungan Optimal Jual Rumah Kost di Lokasi Depok, Hanya Beberapa Langkah Dari Kampus Ui",2090.0,"Kukusan, Depok",7.0,7.0,90.0,152.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss9941/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss9941/</a>",4.976190476190476,298.57142857142856,21.714285714285715
Dijual Kost Full Furnish Hanya 5 Menit Ke Universitas Indonesia,2150.0,"Kukusan, Depok",12.0,12.0,103.0,174.0,Suci Wulandari,"<a href=""https://www.rumah123.com/properti/depok/kss5230/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss5230/</a>",2.986111111111111,179.16666666666666,14.5
Rumah Kost Murah 3 Lantai 10 Kamar Dekat Ke Kampus Ui Depok,2200.0,"Kukusan, Depok",10.0,10.0,50.0,150.0,Rizky Rahadi,"<a href=""https://www.rumah123.com/properti/depok/kss24848/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss24848/</a>",3.6666666666666665,220.0,15.0
Jual Rumah Kost Ideal di Depok Dekat Kampus Ui Dan Fasilitas Publik Dijual Kosan Murah,2220.0,"Kukusan, Depok",9.0,9.0,94.0,162.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss9289/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss9289/</a>",4.111111111111111,246.66666666666666,18.0
Jual Rumah Kost Ideal di Depok Dekat Kampus Ui Dan Fasilitas Publik Dijual Kosan Murah,2220.0,"Beji, Depok",9.0,9.0,94.0,162.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss7243/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss7243/</a>",4.111111111111111,246.66666666666666,18.0
Rumah Kost Dijual Ideal di Depok Dekat Kampus Ui Dan Fasilitas Publik Dijual Kosan Murah,2220.0,"Depok II, Depok",10.0,10.0,94.0,162.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss9939/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss9939/</a>",3.7,222.0,16.2
"Jual Kosan Fsr2, 9 Kamar Dekat KAMPUS Ui Kost Baru Full Furnished Investasi di Beji Depok Dijual",2220.0,"Beji, Depok",9.0,9.0,94.0,162.0,TATENG SUKMANA,"<a href=""https://www.rumah123.com/properti/depok/kss10707/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss10707/</a>",4.111111111111111,246.66666666666666,18.0
Kos Ui Depok Full Furnished Tahap 2 SHM Fasilitas Dapur Tiap Lantai,2230.0,"Kukusan, Depok",10.0,10.0,90.0,240.0,rafidah nur,"<a href=""https://www.rumah123.com/properti/depok/kss12104/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss12104/</a>",3.7166666666666663,223.0,24.0
Miliki Bisnis Apartkos di Dekat Kampus Ui 500 Meter Dari Kutek,2250.0,"Kukusan, Depok",10.0,10.0,65.0,190.0,Bagus edi,"<a href=""https://www.rumah123.com/properti/depok/kss8840/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss8840/</a>",3.75,225.0,19.0
"Kosan Dijual di Depok Kota,10 Kamar Full Furnish 500 Meter Universitas Indonesia",2250.0,"Kukusan, Depok",10.0,10.0,65.0,190.0,AKHADI ARI SAPAR,"<a href=""https://www.rumah123.com/properti/depok/kss8922/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss8922/</a>",3.75,225.0,19.0
"Jual Kosan Kahf 2 Kutek, 10 Kamar Dekat Kampus Ui, Kost Baru, Full Furnished di Beji, Depok Dijual",2250.0,"Beji, Depok",10.0,10.0,65.0,190.0,TATENG SUKMANA,"<a href=""https://www.rumah123.com/properti/depok/kss12089/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss12089/</a>",3.75,225.0,19.0
"Jual Rumah Kost Dekat Ui Depok, 10 Kamar Tidur Full Furnish SHM",2250.0,"Beji, Depok",10.0,10.0,65.0,190.0,Yeni,"<a href=""https://www.rumah123.com/properti/depok/kss9679/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss9679/</a>",3.75,225.0,19.0
Jual Rumah Kost Ui Depok Pintu Masuk Kutek Ui Akses Berbagai Fakultas,2250.0,"Beji, Depok",10.0,10.0,65.0,190.0,Dody Tabrani,"<a href=""https://www.rumah123.com/properti/depok/kss8822/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss8822/</a>",3.75,225.0,19.0
Jual Rumah Kost Ui Depok Aparkost Kutek Ui Depok Pasti Untung,2260.0,"Kukusan, Depok",10.0,10.0,65.0,190.0,Dody Tabrani,"<a href=""https://www.rumah123.com/properti/depok/kss11437/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss11437/</a>",3.7666666666666666,226.0,19.0
Mudah Diakses Rumah Kost Dengan Lokasi Unggul Dekat Kampus Ui Full Furnished 2 Lantai Jual Dijual,2290.0,"Kukusan, Depok",9.0,9.0,99.0,172.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss7251/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss7251/</a>",4.2407407407407405,254.44444444444446,19.11111111111111
Mudah Diakses Rumah Kost Kosan Lokasi Unggul Dekat Kampus Ui Full Furnished 2 Lantai Jual Dijual,2290.0,"Pancoran Mas, Depok",9.0,9.0,99.0,172.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/depok/kss9362/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss9362/</a>",4.2407407407407405,254.44444444444446,19.11111111111111
"jual rumah kost di depok ui, 1 unit terakhir fully furnished SHM",2290.0,"Beji, Depok",10.0,10.0,82.0,200.0,Yeni,"<a href=""https://www.rumah123.com/properti/depok/kss3160/"" target=""_blank"">https://www.rumah123.com/properti/depok/kss3160/</a>",3.8166666666666664,229.0,20.0
