Title,Price,Location,Bedrooms,Bathrooms,Land Area,Building Area,Agent Name,URL,Price per Bedroom,Cost per Bedroom,Area per Bedroom
Kost di Condet Jakarta Timur Dekat Kampus Unindra Bagus Untuk Investasi,550.0,"Condet, Jakarta Timur",3.0,3.0,32.0,64.0,Puspa rini Indoproperty Orchid,"<a href=""https://www.rumah123.com/properti/jakarta-timur/kss8328/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-timur/kss8328/</a>",3.0555555555555554,183.33333333333334,21.333333333333332
Kostan di Kampung Tengah Condet Batu Ampar Kramat Jati Lokasi Dekat Kampus Unindra,595.0,"Kramat Jati, Jakarta Timur",3.0,3.0,32.0,64.0,Puspa rini Indoproperty Orchid,"<a href=""https://www.rumah123.com/properti/jakarta-timur/kss8080/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-timur/kss8080/</a>",3.3055555555555554,198.33333333333334,21.333333333333332
"Rumah Kost Baru 4 Unit di Kampung Tengah, Condet Batu Ampar Dekat Kampus Unindra",595.0,"Kramat Jati, Jakarta Timur",3.0,3.0,32.0,64.0,Puspa rini Indoproperty Orchid,"<a href=""https://www.rumah123.com/properti/jakarta-timur/kss8075/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-timur/kss8075/</a>",3.3055555555555554,198.33333333333334,21.333333333333332
Kost 4 Unit di Batu Ampar Condet Dekat Kampus Unindra Kampung Tengah,595.0,"Kramat Jati, Jakarta Timur",3.0,3.0,32.0,64.0,Puspa rini Indoproperty Orchid,"<a href=""https://www.rumah123.com/properti/jakarta-timur/kss8085/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-timur/kss8085/</a>",3.3055555555555554,198.33333333333334,21.333333333333332
Kost di Condet Dekat Kampus Unindra 4 Unit Masing Masing 3 Pintu,595.0,"Condet, Jakarta Timur",3.0,3.0,32.0,64.0,Puspa rini Indoproperty Orchid,"<a href=""https://www.rumah123.com/properti/jakarta-timur/kss8330/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-timur/kss8330/</a>",3.3055555555555554,198.33333333333334,21.333333333333332
Rumah Kost di Condet Jakarta Timur Lokasi Dekat Kampus Unindra,595.0,"Condet, Jakarta Timur",3.0,3.0,32.0,64.0,Puspa rini Indoproperty Orchid,"<a href=""https://www.rumah123.com/properti/jakarta-timur/kss8316/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-timur/kss8316/</a>",3.3055555555555554,198.33333333333334,21.333333333333332
Kost di Condet Jakarta Timur 3 Pintu Dekat Kampus Unindra,595.0,"Condet, Jakarta Timur",3.0,3.0,32.0,64.0,Puspa rini Indoproperty Orchid,"<a href=""https://www.rumah123.com/properti/jakarta-timur/kss8324/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-timur/kss8324/</a>",3.3055555555555554,198.33333333333334,21.333333333333332
Kost 2 Lantai di Jl Tengah Condet Dekat Kampus Unindra,595.0,"Kramat Jati, Jakarta Timur",3.0,3.0,32.0,64.0,Puspa rini Indoproperty Orchid,"<a href=""https://www.rumah123.com/properti/jakarta-timur/kss8088/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-timur/kss8088/</a>",3.3055555555555554,198.33333333333334,21.333333333333332
Dijual Rumah Kos kosan 2 Lantai di Bulakteko Kalideres Siap Huni Strategis di Jakarta Barat Harga Nego Tipis,850.0,"Kalideres, Jakarta Barat",9.0,9.0,135.0,270.0,Chandra Luther,"<a href=""https://www.rumah123.com/properti/jakarta-barat/kss16761/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-barat/kss16761/</a>",1.574074074074074,94.44444444444444,30.0
Rumah Kos di Mampang Jakarta Selatan 6264HC,945.0,"Mampang Prapatan, Jakarta Selatan",8.0,8.0,64.0,124.0,Suharko,"<a href=""https://www.rumah123.com/properti/jakarta-selatan/kss3851/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-selatan/kss3851/</a>",1.96875,118.125,15.5
